"","n_neighbors","n"
"1",4,3
"2",5,5
"3",6,26
"4",7,87
"5",8,179
"6",9,465
"7",10,1176
"8",11,2112
"9",12,2661
"10",13,1879
"11",14,997
"12",15,312
"13",16,76
"14",17,16
"15",18,6
