"","n_neighbors","n"
"1",4,2
"2",5,10
"3",6,17
"4",7,95
"5",8,211
"6",9,482
"7",10,1090
"8",11,2143
"9",12,2689
"10",13,1873
"11",14,921
"12",15,333
"13",16,109
"14",17,20
"15",18,5
