"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,27
"4",7,93
"5",8,201
"6",9,490
"7",10,1093
"8",11,2102
"9",12,2672
"10",13,1966
"11",14,925
"12",15,306
"13",16,96
"14",17,20
"15",18,3
