"","n_neighbors","n"
"1",5,5
"2",6,26
"3",7,86
"4",8,210
"5",9,451
"6",10,1133
"7",11,2166
"8",12,2643
"9",13,1912
"10",14,926
"11",15,315
"12",16,102
"13",17,18
"14",18,6
"15",19,1
