"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,27
"4",7,92
"5",8,180
"6",9,473
"7",10,1082
"8",11,2212
"9",12,2662
"10",13,1898
"11",14,948
"12",15,313
"13",16,90
"14",17,13
"15",18,2
"16",19,2
