"","n_neighbors","n"
"1",4,1
"2",5,10
"3",6,22
"4",7,94
"5",8,177
"6",9,487
"7",10,1110
"8",11,2133
"9",12,2667
"10",13,1965
"11",14,898
"12",15,331
"13",16,78
"14",17,22
"15",18,5
