"","n_neighbors","n"
"1",5,3
"2",6,31
"3",7,78
"4",8,210
"5",9,424
"6",10,1211
"7",11,2155
"8",12,2624
"9",13,1863
"10",14,938
"11",15,336
"12",16,101
"13",17,19
"14",18,5
"15",19,2
