"","n_neighbors","n"
"1",4,1
"2",5,1
"3",6,25
"4",7,100
"5",8,194
"6",9,420
"7",10,1155
"8",11,2148
"9",12,2672
"10",13,1950
"11",14,920
"12",15,311
"13",16,81
"14",17,17
"15",18,4
"16",19,1
