"","n_neighbors","n"
"1",3,1
"2",5,3
"3",6,26
"4",7,82
"5",8,207
"6",9,470
"7",10,1107
"8",11,2157
"9",12,2652
"10",13,1955
"11",14,913
"12",15,316
"13",16,80
"14",17,27
"15",18,3
"16",19,1
