"","n_neighbors","n"
"1",5,3
"2",6,29
"3",7,88
"4",8,183
"5",9,432
"6",10,1192
"7",11,2148
"8",12,2665
"9",13,1909
"10",14,934
"11",15,291
"12",16,90
"13",17,28
"14",18,7
"15",19,1
