"","n_neighbors","n"
"1",4,1
"2",5,8
"3",6,27
"4",7,94
"5",8,209
"6",9,439
"7",10,1143
"8",11,2102
"9",12,2638
"10",13,2005
"11",14,908
"12",15,310
"13",16,94
"14",17,18
"15",18,4
