"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,29
"4",7,95
"5",8,224
"6",9,464
"7",10,1087
"8",11,2127
"9",12,2649
"10",13,1934
"11",14,946
"12",15,324
"13",16,97
"14",17,10
"15",18,7
"16",19,1
