"","n_neighbors","n"
"1",4,1
"2",5,7
"3",6,28
"4",7,76
"5",8,206
"6",9,497
"7",10,1081
"8",11,2161
"9",12,2655
"10",13,1878
"11",14,1004
"12",15,288
"13",16,99
"14",17,14
"15",18,4
"16",19,1
