"","n_neighbors","n"
"1",4,1
"2",5,11
"3",6,29
"4",7,74
"5",8,210
"6",9,462
"7",10,1095
"8",11,2131
"9",12,2731
"10",13,1927
"11",14,887
"12",15,322
"13",16,96
"14",17,17
"15",18,5
"16",19,2
