"","n_neighbors","n"
"1",4,2
"2",5,12
"3",6,22
"4",7,72
"5",8,218
"6",9,437
"7",10,1109
"8",11,2172
"9",12,2667
"10",13,1939
"11",14,942
"12",15,311
"13",16,75
"14",17,19
"15",18,3
