"","n_neighbors","n"
"1",4,3
"2",5,7
"3",6,30
"4",7,92
"5",8,188
"6",9,423
"7",10,1106
"8",11,2184
"9",12,2721
"10",13,1895
"11",14,948
"12",15,297
"13",16,83
"14",17,18
"15",18,5
