"","n_neighbors","n"
"1",3,1
"2",4,3
"3",5,7
"4",6,20
"5",7,88
"6",8,211
"7",9,456
"8",10,1105
"9",11,2176
"10",12,2680
"11",13,1879
"12",14,915
"13",15,341
"14",16,87
"15",17,23
"16",18,7
"17",19,1
