"","n_neighbors","n"
"1",4,2
"2",5,6
"3",6,22
"4",7,88
"5",8,211
"6",9,458
"7",10,1107
"8",11,2164
"9",12,2660
"10",13,1911
"11",14,936
"12",15,329
"13",16,82
"14",17,17
"15",18,5
"16",19,1
"17",22,1
