"","n_neighbors","n"
"1",4,2
"2",5,8
"3",6,31
"4",7,85
"5",8,231
"6",9,431
"7",10,1109
"8",11,2072
"9",12,2731
"10",13,1934
"11",14,953
"12",15,322
"13",16,70
"14",17,18
"15",18,3
