"","n_neighbors","n"
"1",4,4
"2",5,3
"3",6,17
"4",7,98
"5",8,195
"6",9,471
"7",10,1136
"8",11,2118
"9",12,2653
"10",13,1940
"11",14,931
"12",15,338
"13",16,69
"14",17,23
"15",18,3
"16",19,1
