"","n_neighbors","n"
"1",4,1
"2",5,6
"3",6,19
"4",7,78
"5",8,210
"6",9,466
"7",10,1109
"8",11,2138
"9",12,2702
"10",13,1962
"11",14,876
"12",15,317
"13",16,96
"14",17,17
"15",18,3
