"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,18
"4",7,91
"5",8,216
"6",9,469
"7",10,1074
"8",11,2214
"9",12,2650
"10",13,1881
"11",14,937
"12",15,316
"13",16,103
"14",17,22
"15",18,3
