"","n_neighbors","n"
"1",4,1
"2",5,6
"3",6,36
"4",7,82
"5",8,180
"6",9,480
"7",10,1126
"8",11,2105
"9",12,2686
"10",13,1940
"11",14,946
"12",15,312
"13",16,78
"14",17,18
"15",18,1
"16",19,3
