"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,27
"4",7,81
"5",8,210
"6",9,475
"7",10,1107
"8",11,2163
"9",12,2620
"10",13,1962
"11",14,901
"12",15,326
"13",16,102
"14",17,14
"15",18,6
