"","n_neighbors","n"
"1",5,10
"2",6,33
"3",7,96
"4",8,216
"5",9,465
"6",10,1079
"7",11,2192
"8",12,2599
"9",13,1911
"10",14,912
"11",15,359
"12",16,97
"13",17,27
"14",18,2
"15",19,2
