"","n_neighbors","n"
"1",5,5
"2",6,23
"3",7,97
"4",8,203
"5",9,448
"6",10,1089
"7",11,2203
"8",12,2623
"9",13,1946
"10",14,948
"11",15,318
"12",16,86
"13",17,7
"14",18,4
