"","n_neighbors","n"
"1",4,2
"2",5,9
"3",6,32
"4",7,76
"5",8,221
"6",9,457
"7",10,1093
"8",11,2117
"9",12,2716
"10",13,1905
"11",14,942
"12",15,317
"13",16,94
"14",17,17
"15",18,2
