"","n_neighbors","n"
"1",4,1
"2",5,3
"3",6,27
"4",7,92
"5",8,192
"6",9,450
"7",10,1126
"8",11,2104
"9",12,2737
"10",13,1979
"11",14,849
"12",15,339
"13",16,80
"14",17,13
"15",18,7
"16",20,1
