"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,21
"4",7,85
"5",8,213
"6",9,459
"7",10,1123
"8",11,2159
"9",12,2649
"10",13,1941
"11",14,881
"12",15,339
"13",16,110
"14",17,12
"15",18,2
