"","n_neighbors","n"
"1",5,7
"2",6,24
"3",7,92
"4",8,185
"5",9,472
"6",10,1114
"7",11,2125
"8",12,2682
"9",13,1985
"10",14,896
"11",15,311
"12",16,85
"13",17,17
"14",18,4
"15",19,1
