"","n_neighbors","n"
"1",4,2
"2",5,7
"3",6,31
"4",7,87
"5",8,202
"6",9,441
"7",10,1161
"8",11,2095
"9",12,2706
"10",13,1901
"11",14,914
"12",15,329
"13",16,101
"14",17,20
"15",18,3
