"","n_neighbors","n"
"1",4,1
"2",5,7
"3",6,22
"4",7,92
"5",8,210
"6",9,418
"7",10,1129
"8",11,2214
"9",12,2640
"10",13,1895
"11",14,943
"12",15,308
"13",16,95
"14",17,22
"15",18,4
