"","n_neighbors","n"
"1",4,1
"2",5,8
"3",6,35
"4",7,69
"5",8,207
"6",9,444
"7",10,1117
"8",11,2175
"9",12,2672
"10",13,1916
"11",14,927
"12",15,324
"13",16,81
"14",17,20
"15",18,2
"16",19,2
