"","n_neighbors","n"
"1",4,2
"2",5,7
"3",6,30
"4",7,89
"5",8,215
"6",9,466
"7",10,1038
"8",11,2140
"9",12,2758
"10",13,1916
"11",14,906
"12",15,317
"13",16,91
"14",17,25
