"","n_neighbors","n"
"1",4,1
"2",5,6
"3",6,21
"4",7,81
"5",8,218
"6",9,459
"7",10,1140
"8",11,2126
"9",12,2638
"10",13,1959
"11",14,917
"12",15,317
"13",16,92
"14",17,22
"15",18,3
