"","n_neighbors","n"
"1",4,1
"2",5,10
"3",6,28
"4",7,86
"5",8,218
"6",9,475
"7",10,1108
"8",11,2127
"9",12,2654
"10",13,1904
"11",14,934
"12",15,313
"13",16,109
"14",17,27
"15",18,5
"16",20,1
