"","n_neighbors","n"
"1",3,1
"2",5,7
"3",6,25
"4",7,86
"5",8,207
"6",9,432
"7",10,1148
"8",11,2103
"9",12,2690
"10",13,1993
"11",14,889
"12",15,308
"13",16,90
"14",17,17
"15",18,3
"16",19,1
