"","n_neighbors","n"
"1",5,3
"2",6,28
"3",7,89
"4",8,201
"5",9,447
"6",10,1142
"7",11,2191
"8",12,2636
"9",13,1850
"10",14,973
"11",15,328
"12",16,87
"13",17,20
"14",18,5
