"","n_neighbors","n"
"1",4,1
"2",5,9
"3",6,29
"4",7,81
"5",8,201
"6",9,471
"7",10,1109
"8",11,2123
"9",12,2710
"10",13,1917
"11",14,891
"12",15,343
"13",16,93
"14",17,20
"15",18,2
