"","n_neighbors","n"
"1",5,8
"2",6,29
"3",7,82
"4",8,188
"5",9,470
"6",10,1155
"7",11,2168
"8",12,2628
"9",13,1860
"10",14,942
"11",15,367
"12",16,80
"13",17,20
"14",18,2
"15",19,1
