"","n_neighbors","n"
"1",4,2
"2",5,7
"3",6,26
"4",7,82
"5",8,206
"6",9,468
"7",10,1116
"8",11,2156
"9",12,2633
"10",13,1922
"11",14,961
"12",15,306
"13",16,94
"14",17,15
"15",18,4
"16",19,2
