"","n_neighbors","n"
"1",4,2
"2",5,8
"3",6,30
"4",7,78
"5",8,220
"6",9,433
"7",10,1108
"8",11,2185
"9",12,2670
"10",13,1892
"11",14,924
"12",15,337
"13",16,91
"14",17,21
"15",18,1
