"","n_neighbors","n"
"1",4,1
"2",5,11
"3",6,24
"4",7,72
"5",8,204
"6",9,457
"7",10,1142
"8",11,2145
"9",12,2664
"10",13,1953
"11",14,899
"12",15,291
"13",16,106
"14",17,27
"15",18,2
"16",19,2
