"","n_neighbors","n"
"1",5,4
"2",6,24
"3",7,92
"4",8,203
"5",9,476
"6",10,1104
"7",11,2131
"8",12,2681
"9",13,1944
"10",14,901
"11",15,315
"12",16,105
"13",17,16
"14",18,4
