"","n_neighbors","n"
"1",4,1
"2",5,7
"3",6,32
"4",7,118
"5",8,182
"6",9,420
"7",10,1179
"8",11,2109
"9",12,2630
"10",13,1940
"11",14,935
"12",15,333
"13",16,87
"14",17,22
"15",18,4
"16",19,1
