"","n_neighbors","n"
"1",4,1
"2",5,12
"3",6,31
"4",7,83
"5",8,199
"6",9,451
"7",10,1137
"8",11,2140
"9",12,2662
"10",13,1902
"11",14,924
"12",15,356
"13",16,74
"14",17,22
"15",18,6
