"","n_neighbors","n"
"1",4,2
"2",5,6
"3",6,32
"4",7,99
"5",8,189
"6",9,446
"7",10,1153
"8",11,2096
"9",12,2719
"10",13,1875
"11",14,926
"12",15,340
"13",16,96
"14",17,13
"15",18,7
"16",19,1
