"","n_neighbors","n"
"1",3,1
"2",4,2
"3",5,6
"4",6,24
"5",7,85
"6",8,214
"7",9,462
"8",10,1125
"9",11,2177
"10",12,2608
"11",13,1916
"12",14,916
"13",15,337
"14",16,96
"15",17,21
"16",18,9
"17",19,1
