"","n_neighbors","n"
"1",5,11
"2",6,23
"3",7,88
"4",8,208
"5",9,443
"6",10,1102
"7",11,2182
"8",12,2682
"9",13,1903
"10",14,914
"11",15,331
"12",16,90
"13",17,16
"14",18,7
