"","n_neighbors","n"
"1",4,3
"2",5,13
"3",6,29
"4",7,67
"5",8,202
"6",9,456
"7",10,1141
"8",11,2140
"9",12,2714
"10",13,1870
"11",14,901
"12",15,340
"13",16,99
"14",17,14
"15",18,9
"16",19,2
