"","n_neighbors","n"
"1",4,1
"2",5,10
"3",6,31
"4",7,98
"5",8,190
"6",9,428
"7",10,1106
"8",11,2136
"9",12,2672
"10",13,2007
"11",14,953
"12",15,267
"13",16,73
"14",17,24
"15",18,4
