"","n_neighbors","n"
"1",5,6
"2",6,24
"3",7,88
"4",8,193
"5",9,467
"6",10,1104
"7",11,2150
"8",12,2679
"9",13,1983
"10",14,879
"11",15,312
"12",16,93
"13",17,20
"14",18,2
