"","n_neighbors","n"
"1",4,1
"2",5,5
"3",6,28
"4",7,96
"5",8,191
"6",9,465
"7",10,1102
"8",11,2190
"9",12,2645
"10",13,1910
"11",14,939
"12",15,294
"13",16,100
"14",17,26
"15",18,8
