"","n_neighbors","n"
"1",4,1
"2",5,2
"3",6,31
"4",7,82
"5",8,192
"6",9,446
"7",10,1064
"8",11,2276
"9",12,2655
"10",13,1905
"11",14,939
"12",15,310
"13",16,69
"14",17,25
"15",18,3
