"","n_neighbors","n"
"1",4,2
"2",5,9
"3",6,21
"4",7,87
"5",8,210
"6",9,461
"7",10,1108
"8",11,2109
"9",12,2682
"10",13,1959
"11",14,937
"12",15,322
"13",16,75
"14",17,15
"15",18,3
