"","n_neighbors","n"
"1",4,2
"2",5,8
"3",6,27
"4",7,79
"5",8,211
"6",9,454
"7",10,1069
"8",11,2200
"9",12,2678
"10",13,1934
"11",14,924
"12",15,302
"13",16,82
"14",17,22
"15",18,5
"16",19,3
