"","n_neighbors","n"
"1",5,8
"2",6,32
"3",7,100
"4",8,193
"5",9,457
"6",10,1094
"7",11,2146
"8",12,2639
"9",13,2006
"10",14,921
"11",15,278
"12",16,95
"13",17,22
"14",18,6
"15",19,3
