"","n_neighbors","n"
"1",4,2
"2",5,5
"3",6,31
"4",7,70
"5",8,203
"6",9,439
"7",10,1167
"8",11,2193
"9",12,2596
"10",13,1934
"11",14,911
"12",15,335
"13",16,87
"14",17,24
"15",18,3
