"","n_neighbors","n"
"1",4,1
"2",5,3
"3",6,29
"4",7,83
"5",8,231
"6",9,455
"7",10,1112
"8",11,2148
"9",12,2625
"10",13,1926
"11",14,952
"12",15,313
"13",16,103
"14",17,14
"15",18,4
"16",20,1
