"","n_neighbors","n"
"1",4,1
"2",5,6
"3",6,31
"4",7,79
"5",8,204
"6",9,446
"7",10,1140
"8",11,2170
"9",12,2628
"10",13,1935
"11",14,936
"12",15,304
"13",16,86
"14",17,28
"15",18,6
