"","n_neighbors","n"
"1",5,10
"2",6,35
"3",7,77
"4",8,206
"5",9,427
"6",10,1137
"7",11,2127
"8",12,2724
"9",13,1919
"10",14,904
"11",15,312
"12",16,101
"13",17,18
"14",18,3
