"","n_neighbors","n"
"1",4,3
"2",5,7
"3",6,38
"4",7,81
"5",8,202
"6",9,407
"7",10,1119
"8",11,2182
"9",12,2706
"10",13,1909
"11",14,927
"12",15,311
"13",16,85
"14",17,18
"15",18,2
"16",19,3
