"","n_neighbors","n"
"1",4,1
"2",5,6
"3",6,26
"4",7,86
"5",8,200
"6",9,457
"7",10,1096
"8",11,2143
"9",12,2717
"10",13,1926
"11",14,926
"12",15,318
"13",16,81
"14",17,13
"15",18,3
"16",19,1
