"","n_neighbors","n"
"1",4,2
"2",5,4
"3",6,29
"4",7,82
"5",8,217
"6",9,451
"7",10,1118
"8",11,2078
"9",12,2741
"10",13,1948
"11",14,918
"12",15,302
"13",16,84
"14",17,18
"15",18,6
"16",19,1
"17",20,1
